,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Indonesia,30.52,30.16,30.34,30.55,30.78,30.71,30.4,30.14,30.34,30.6,30.96,30.83,30.43
Sumatera Selatan,32.05,30.73,31.17,31.75,32.26,32.58,32.54,32.36,32.86,32.57,32.55,31.96,31.21
Sulawesi Utara,28.35,28.17,28.33,28.6,27.8,29.1,28.58,28.23,28.52,28.24,28.49,28.06,28.08
Sulawesi Selatan,29.57,29.35,29.35,29.27,29.69,29.45,29.16,29.08,29.35,29.85,30.45,30.24,29.57
Bengkulu,31.62,30.65,30.45,31.07,31.52,31.89,31.76,31.53,32.14,32.47,32.66,31.99,31.27
Bali,30.01,29.8,30.02,30.18,30.21,29.87,29.51,29.4,29.4,29.87,30.61,30.8,30.46
Sumatera Barat,31.97,31.2,31.28,31.52,31.97,32.44,31.94,31.94,32.14,32.57,32.75,32.36,31.51
Nangroe Aceh Darussalam,31.39,30.62,30.77,31.25,31.72,31.9,31.37,31.34,31.46,31.64,31.86,31.53,31.13
Sulawesi Tenggara,30.14,30.28,30.16,30.18,30.22,29.71,29.21,28.93,29.42,30.27,31.24,31.34,30.76
Sulawesi Tengah,29.09,28.87,28.93,28.98,29.14,29.1,28.82,28.55,29.02,29.16,29.96,29.37,29.14
Jambi,32.29,31.2,31.38,31.95,32.42,32.79,32.27,32.16,32.56,33.03,33.18,32.79,31.73
Sulawesi Barat,29.07,28.63,28.75,28.71,29.36,29.07,28.86,28.68,29.06,29.34,29.92,29.52,28.96
Dki Jakarta,32.44,30.86,31.34,32.06,32.89,32.78,32.75,32.88,33.2,32.95,33.32,32.31,31.86
Riau,32.52,31.92,32.44,32.79,32.85,33.14,32.72,32.49,32.45,32.65,32.66,32.44,31.69
Daerah Istimewa Yogyakarta,31.37,31.17,31.24,31.37,31.73,31.45,31.36,31.18,31.47,31.26,31.69,31.33,31.15
Sumatera Utara,31.98,31.66,31.93,32.13,32.22,32.6,32.33,32.06,32.02,31.87,31.89,31.53,31.46
Papua,29,29.18,29.42,29.35,29.4,29.04,28.71,27.91,27.93,28.64,29.4,29.65,29.44
Maluku Utara,30.42,29.71,30.08,30.46,30.65,30.91,30.52,30.18,30.34,30.56,30.82,30.55,30.21
Maluku,30.03,30.02,30.25,30.39,30.42,30.07,29.45,28.97,29,29.76,30.57,31,30.43
Kepulauan-riau,31.45,30.77,31.2,31.61,31.79,31.93,31.61,31.26,31.21,31.41,31.64,31.73,31.2
Jawa Barat,30.88,30.13,30.42,30.82,31.27,30.96,30.73,30.72,31.16,31.08,31.53,31.01,30.71
Papua Barat,29.55,30.08,30.26,30.06,29.8,29.39,29.01,28.37,28.35,29.05,29.74,30.32,30.27
Gorontalo,28.43,28.33,28.44,28.55,27.6,28.88,28.4,28.11,28.4,28.48,28.84,28.56,28.56
Banten,31.64,30.3,30.61,31.23,31.99,31.83,31.85,32.02,32.4,32.23,32.52,31.49,31.16
Kalimantan Timur,30.55,29.64,30.03,30.5,30.98,31.02,30.85,30.67,30.89,30.99,30.54,30.42,30.03
Kalimantan Tengah,30.28,30.39,30.3,30.38,30.59,30.31,29.96,29.81,29.97,29.99,30.5,30.65,30.51
Kalimantan Selatan,30.49,29.79,29.84,29.5,30.72,30.83,30.54,30.38,30.82,30.91,31.46,30.96,30.11
Kalimantan Barat,31.18,30.94,30.85,31.33,31.2,31.27,30.97,31.23,31.43,31.26,31.42,31.19,31.02
Jawa Timur,31.39,30.91,31,31.21,31.55,31.16,30.88,30.84,31.24,31.65,32.4,32.23,31.55
Jawa Tengah,31.21,30.74,30.83,31.13,31.54,31.24,31.1,30.98,31.25,31.35,31.81,31.46,31.07
Nusatenggara Timur,30.39,30.31,30.13,30.23,30.68,30.06,29.66,29.54,29.81,30.56,31.48,31.57,30.61
Bangka Belitung,31.69,30.56,31.03,31.7,32.19,32.09,32.21,31.94,32.38,31.97,32.14,31.46,30.58
Nusatenggara Barat,30.92,30.21,30.32,30.46,31.09,30.73,30.49,30.42,30.65,31.63,32.28,31.9,30.86
Lampung,30.94,29.95,30.37,30.96,31.28,31.36,30.94,31.09,31.44,31.1,31.62,30.78,30.36
